stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0
21Day,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0.37,0,0,0
3Month,0.31,0.21,0.1,0.21,1.46,0,0.94,0.21,1.25,0.21,0,0.31,0.1,0,0.1,0,1.04
22Month,0,0,0,0,11.07,0.14,2.73,0.14,1.09,0,0.41,0,0,0,0.27,0,0
