stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0.28,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,2.59,0,0,0,0
3Month,0,1.87,0,0.1,0.73,0.62,0,3.33,0.94,0.42,0.21,0.52,0.83,0.31,0.1,0,0.31,0.42,0.21,0,0,0,0,1.14,91.12,0,0.31,40.77,0.21
22Month,0.82,0.82,0,0,0.27,1.23,1.37,8.61,0.55,0.82,0.27,0.27,0.27,0.68,0,0.14,0.55,0,0.14,0,0.14,32.93,0.14,0.14,10.39,0.14,0,0.41,0
