stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,2,20,0,0,1,0,0,0,0,0,1,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,1.13,0,1.13,0,0,9.58,6.2,0,0.28,0,0,0,0.28,0.28,0,0,0,0
21Day,0,0.37,0,2.96,0.37,1.48,0,0,0,0,0.37,0.74,0,0.74,0.74,0.74,1.48,0,0,6.29,1.85,0,0,0.37,0,0,0,0.37,0.74,0,0,0
3Month,0,0.1,0.1,1.87,0,0,0.62,0.42,0,3.64,0.21,0,0.94,0.1,0.1,1.04,0.73,0.1,0.1,0.42,0,0.52,0,0,0.21,4.26,0,0,0,0,0.73,0.21
22Month,0,0,0,0.14,0,0,0,0,0,3.01,0,0.14,0.55,0,0,0.14,0.27,0,0,0,0,0.14,0,0,0,0.55,0,0,0,0,0,0
