stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia
72hpf,0,0,0,0.85,0,0,0,0,0,0,0.56,0,0,10.43,0.28,0,0.28,0,0
21Day,0.74,0,1.85,0.37,0.74,0,0,0,0.74,0,3.33,1.11,0,9.62,0.74,1.11,0,0,0
3Month,0,0,0.21,0,0,0.1,0,0.1,0,0.1,0.1,0,0.21,0.1,0,0,0,0.1,0
22Month,0,0.14,0,0,0,0.14,0.14,0.55,0,0,0,0.14,0,0.14,0,0,0,0,0.14
