stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.28,1.13,0,0,0,0,0,0,0,0,0,0,0.56,2.54,0,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,1.48,0,0,8.88,0,1.11,0,0.37,0,0,0,0,0,0,0,0,0.37,5.55,0,1.85,0,0,0.74,0,0.37,0.74,0,0,0,0.37,0.37,0.37,0,0,0
3Month,0,0.83,0.42,55.34,0.1,0,0.21,0,0.1,0.94,2.08,0,4.47,3.74,0.42,1.25,1.35,13,4.37,2.81,1.04,0.1,0.42,0.21,0.42,0.1,0.1,0.1,0,0.42,0.62,0,1.35,0.42,1.56
22Month,0,3.01,0.27,5.47,0,0,0,0.14,0.14,0.55,2.87,1.37,13.94,0.55,0.14,0.96,0.55,2.05,3.55,3.83,0,0.82,0,0.14,0.41,0,0,0.14,0.14,0,0.14,1.23,0.41,0,0.96
