stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0.85,0,0,0.28,0,0,1.41,0.85,0,0,0,0,0.28,0,0,0
21Day,0.37,0,0,0.74,0.37,0.37,0,0.37,0,0,0,0,0.37,0,1.11,0.37,0.37,0,0,0,0.74,0,0.37,0.74,0,0,0.37,0,0
3Month,0,0,0,0.73,0.1,0,0.1,0,0,0,1.25,0.21,1.14,0,0.31,0,0.42,0,0.1,0,0,0.31,0.1,0.1,0.94,0,0,0.52,0.21
22Month,0,0.41,0.14,1.23,0,0,0,0.14,0.27,0.27,14.89,0,0.14,0,0,0.55,0,1.09,0,0,0.14,0.27,0,0,0,0,0,0,0
