stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0.74,0,0.37,0,0,0,0,0,0,0,0
3Month,0.94,0.83,0.1,2.29,0.73,0.94,0.31,0.42,0.31,0.42,3.43,9.78,1.56,0.42,0.1,0.52,0.1,0.1,0.1,0.1,0.21
22Month,0,0,0,0.27,0,1.5,0.14,0,0,0,0.82,0.55,0,0,0,0.14,0,0,0,0,0
