stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0.28,0,0,0,0,0,0,0.28,0,3.1,0,0,0
21Day,0,1.11,0,0,0,0,0.74,0.37,0,0,1.11,0,0,0
3Month,0,0.21,0,0,0.31,0.1,0,0,0.1,0,0,0.1,0.1,0.1
22Month,0.14,0,0.14,0.41,1.37,0.27,0,0.14,0,0.14,0,0,0,0
