stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,T_cell
21Day,0,0,0,0,0,0,0,0.37,0
3Month,0,0.21,0,0,0,0,0,0,0
22Month,0.14,3.28,0.14,0.14,0.14,0.27,0.14,0,0.14
