stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0.28,0,7.89,1.97,0,0,0.56,0,0,0.28,18.32,28.18,0,0
21Day,0.74,0.74,0.74,10.73,6.66,1.11,0.37,0,0,1.48,0.74,4.44,1.11,1.48,7.4,0.74,11.84,0,0.74,0,18.13,7.4,0.74,0,5.92,2.59,0,0.37,72.15,446.2,0.74,1.48
3Month,0,0,0,0.1,0,0,0,0.21,0,0.21,0.1,0,0.42,0.1,0.21,0,0.21,0,0.1,0,0.1,0,0,0.1,0,0,0.21,0,0.1,0,0.1,0.1
22Month,0,0.27,0.14,0.68,0,0,0,0.41,0.27,8.47,0.27,0.27,0.96,0,0.14,0.14,0.82,0.55,0,0.14,0.14,0,0.14,0.14,0,0,0.55,0,1.37,0.14,0,0
