stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0.28,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0.28,0,0,0.56,0,0.28,0,43.97,1.13,0,0,0.56,0,0.28,14.09,0.56,0
21Day,0.37,0,0,1.11,1.11,0.37,0,0.37,0,0,0,0.37,0,0,0,0.74,0,0,0.37,11.47,0.37,0,0.37,0,0.37,0,24.79,1.11,0
3Month,0,0,0,0.1,0,0,0.1,0,0,0.42,0,0.1,0,0.1,0.21,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0.31,0,0.1
22Month,0,0.14,0.14,0,0,0.14,0,0.14,0.14,2.19,0.14,0,0,0,0.96,0.41,0,0,0,0,0,0,0,0,0,0.27,36.9,0,0.14
