stage,Epithelial_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,1,0,0,0
72hpf,0,0,1.13,0.56,0.28,0.28,0
21Day,0.37,1.11,0.37,0,0.74,0.74,0
3Month,0,0,0,0,0.1,0,0.1
