stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0,0.85,0,0,0,0,0,0
21Day,0.37,0,0,0,0.37,0,0,0.37,0,0.74,0.37,0,0.74,0.37,0,0.37,0,0.37,0
3Month,0,0.1,0.42,0.1,0,0.1,0.21,0.31,0,0.1,0.1,0.1,0,0,0.1,0,0.1,0,0.1
22Month,0,0,0.14,0,0.96,0,0,0.14,0.14,0.14,0.14,0,0,0,0,0,0,0,0
