stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,128,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,7,7,0,0,0,11,52,0,0,0,0,0,0,0,0,8,0,0,0
72hpf,111.05,1.13,0,4.79,1.97,0.85,0,0,0,0,0,0,0,0,0.56,17.47,0,19.45,0,0.28,0,17.19,17.19,0,0.28,5.92,0,0,1.69,0,0.28,0,0,0,0
21Day,161.31,0,0.74,10.73,0,3.7,0,0.37,0.37,0,0.37,0,1.11,1.48,0.74,11.47,0.37,16.28,0,0.74,0,4.81,8.88,0,0,3.7,2.59,0.37,1.48,0.37,1.11,0.74,0,0,0.37
3Month,2.08,0.52,0.1,3.43,0,0,0,0.1,0.31,0,1.46,0.31,0,1.25,0,4.16,0.73,1.35,0.83,0.42,0,1.46,0.1,0,0,0,0.21,8.43,0,0,0,0,0.21,0.31,0.52
22Month,0.55,0.96,0.14,0.68,0,0,0.14,0.14,0.41,0.55,3.42,0.14,0,1.37,0,3.42,4.78,2.6,0,0,0.14,0,0,0.14,0.14,0.14,0,3.14,0.14,0,0,0,0.14,0,0.14
