stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,3.66,0.28,0,0.56,0,0,0,0.85,1.13,1.13,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0.74,0,12.95,4.81,0.74,0,0,0,0,0,0,0.37,0,0,9.99,1.11,0.74,0.37,2.59,0,0,0,1.48,4.81,2.22,0.74,0.37,0,1.11,0.74,0,0,0,0.37,0,0,0,0.37
3Month,0.1,1.56,11.34,14.77,0,0.94,0.52,0.1,12.9,3.64,0,16.02,5.72,0.42,299.67,2.29,3.02,3.85,7.59,1.25,0.31,1.77,31.1,0.42,0,3.74,0.42,0,0.21,2.81,0.1,4.68,0.21,0,0.1,10.82,2.7,3.85
22Month,0,0.96,6.42,4.51,0,0.27,0.14,0,13.66,2.6,1.5,26.1,0.41,0.41,266.47,0.14,0.27,2.19,2.6,0.14,1.37,0.82,2.05,0.14,0,2.46,0.41,0.41,0,0.55,0,3.69,0.27,0,0,1.91,0,0.96
