stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0.28,0.56,0.28,0,0,0.28,0,0,0,0,0,0
21Day,0,0,1.85,1.11,0.37,0,0,0,0,0,0,0,0.74,2.96,0.74,0.37,2.59,0.37,0,0,0,0,0,0.37,0.37,0,0,0,0,0.37,0,0,0
3Month,0.21,0.42,4.99,14.87,0,0.52,0.1,20.28,0.73,0.21,5.1,0.83,0,134.08,1.66,0.83,7.8,1.66,0.1,0.1,6.66,6.66,0.1,0,2.6,0,0,1.04,0.73,0.1,0.21,19.14,0.94
22Month,0,0.55,8.75,4.65,0,0.27,0,14.76,1.64,0.14,9.16,0.14,0,182.29,1.09,0.14,4.78,0.82,0.14,0.55,12.98,0.14,0.41,0,3.42,0.14,0,0.27,0.82,0.14,0,0,0.41
