stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,42,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0.28,1.13,0,3.95,0,4.51,3.1,0.85,0.28,0,1.13,0,0,0.28,0,0,0.28,0,0
21Day,37.74,0,0,1.11,0,0.74,0,0,0,0,0,0,0,0.37,0.37,0.37,1.85,0,13.69,0.37,0.37,0,0,1.11,0.37,0,0,0,0.37,0.37,0,0
3Month,8.11,0,0.1,1.35,0.1,0,0.1,0.1,0.1,4.47,0.21,0,0.42,0.1,0,0.1,0.52,0.21,0.52,0.1,0,0.1,0.62,0,0.21,0.52,0,0,0,0.31,0.21,0.21
22Month,4.1,0.14,0.27,0.82,0,0,0,0.14,0.82,11.07,0.41,0.27,0.96,0,0.14,0.96,1.23,0,1.64,0,0,0,3.01,0,0,0.41,0.14,0.14,0,0.14,0,0.27
