stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,5,0,0,0,0,0,0,1,1,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,6.48,0,0,0,0,0,0,0,0.85,0,5.36,0,1.13,0,2.25,0.56,0,0,1.97,0,0.28,0.28,0,0,0
21Day,0.37,0.74,0,4.81,0,0,0,0,0,0,0,3.7,0,2.96,0,4.07,0,0.37,0,0,0,2.96,0.37,0,0,0.37,0,0
3Month,0.1,2.7,0.1,2.08,0.1,0,0.62,0,0,0.62,0,0.73,0.31,3.02,0.21,0.1,0.21,0,0,0.1,0,1.77,0.42,1.56,0,7.18,0.31,0.21
22Month,0,0.68,0.68,0.55,0.55,0.27,0.96,0.14,0.14,0.82,0,0,0.96,1.78,0,0.27,0,0,0,0,6.15,0,0,2.73,0.14,0.96,0,0.14
