stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,9.3,0,0.28,0,0,0,0,0,0,0,0.28,0.28,0.28,0.28,0,0,0,0.56,1.41,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0.37,28.86,0.74,1.85,0,0,0.74,0,0.37,0,0.37,0,0,0.74,0.37,0,0,0.37,2.22,0.37,0,0,0.74,0,0,0,0.74,0,0.74,0,0.37
3Month,0,6.45,1.14,0,0.1,0.21,0.1,0,1.14,0.42,0.31,0,0,0.1,0.62,0.1,0,0,0,0,0,0.1,0,0.1,1.04,0,0,0.1,1.04,0.21,0
22Month,0,18.04,0.41,0,0.14,0,0.41,0,5.33,0,0.96,0.14,0.14,0.68,0.41,0,0.27,0,0.14,0,0.14,0,0,0,0,0.14,0,0,0.14,0,0.14
