stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte
24hpf,1,0,0,0,0,0,0,4,1,0,0
72hpf,0,0,0,0,0,0,0,1.69,0,0,0
21Day,0,0.37,0,0,0,0,0.74,0.74,0,0,5.92
3Month,0,0,0,0.1,0.21,0.1,0,0.1,0,0.31,0.52
22Month,0,0.14,0.68,0,0.14,0,0,0,0,0,0.82
