stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0.28,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.74,0,0,0,0
3Month,0.31,0.1,3.02,0.31,1.04,1.14,0.83,0.31,0.94,0.1,1.46,1.56,0.31,0.42,0.21,0.1,0,0,0.1,0,0.1,0.21,0.83,0.1,0.73
22Month,0.14,0,0,0,0.14,0.68,0.14,0,0,0,0.14,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0,0
