stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.69,0,0.56,0,0,0,0,0,0,0,0,0,0.28,3.66,0,1.41,0,0,0,0,4.79,1.69,0,0,0.28,0.28,0,0,0.56,0,0,0
21Day,0.37,0,0,7.77,0.37,0.37,0,0.74,0,0.37,0,0,0,0,0,0,3.33,0.74,3.7,0,0,0.37,0,1.85,1.11,0,0,2.59,0,0.37,0.37,0,0,0,0
3Month,0,0.21,0.21,9.67,0,0,0.1,0,0.31,0.31,0,6.45,0.31,0.31,3.74,0.42,2.7,0.52,1.87,0.42,0.1,0.73,0.31,0.21,0.1,0.1,0.1,0.1,0.31,3.85,0,0,0.42,0.94,1.25
22Month,0,0.27,0,1.09,0,0,0.14,0,0.27,0.27,0.27,5.33,0.41,0.14,1.5,0,0,0.14,0.41,0.14,0.14,0.14,0.14,0.14,0.14,0,0.14,0,0.14,0.55,0,0,0,0,0
