stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0.28,0,0.28,0,0,0.28,7.05,1.13,0,2.82,0.56,0,0.28,0.85,0.28,0,0,0
21Day,0,0.37,0,0,0,0,0.37,0,0,0,0,1.48,0,0,0,4.07,0.37,0,4.81,0,0.37,1.48,0,0,0,0,0
3Month,1.25,0,0,0.1,0.21,0.1,0,0,0.31,0,0.1,0.42,0.21,0.73,0,0.21,0,0.21,2.6,0,0.1,22.88,0.1,0,0.21,2.7,0.1
22Month,0.27,0,0,0,0.27,0,0,0.14,0,0,0,0,0,0.41,0,0.14,0,0.14,0.68,0,0,12.03,0,0,0,0.14,0
