stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
72hpf,0,0,0.28,0,0,0,0.28,0.56,0,1.41,0,0.28,0.28,0,1.13,0.28
21Day,0.37,0.37,0,0,0,0.37,0,0.37,0,1.85,0,0.74,1.11,0,0.37,0
22Month,0,0.14,0,0.27,1.37,0,0,0,0.14,0.27,0.14,0,0,0.14,0,0
