stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0
72hpf,0,0.28,1.13,0.56,0.56,0,0,0,0,0,0,3.38,0,1.41,0,0,0,8.17,4.51,0,0.28,1.13,0.28,0,0.28,0,0
21Day,0.37,0.74,2.96,0,0.37,0,0,0,0,0.74,0,2.22,1.48,0.37,0,0.37,0,1.48,1.11,0,0,1.11,0,0,0,0,0.74
3Month,0,0.1,2.08,0.21,0,0.1,0.31,1.87,0.42,0,0.83,0.21,0.73,0.31,0.1,0.31,0.21,0.1,0,0.52,0.1,0,0,0.73,0,0.62,0.52
22Month,0,0,0.14,0,0,0,0.27,1.09,0,0,0.55,0.14,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0
