stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,1,0,0,0,0,2,0,12,0,0
72hpf,0.28,0.28,0.56,0.28,0,0.85,0,0.28,1.13,2.25,0.28,0.56
21Day,0,0,0.37,0,0.37,0,0.37,1.48,0.74,0.37,0,0
