stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.52,0,0.52,0,0,0,0,0,0.1,0,0.94,0.1,0,0.21,0,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0.1,0
22Month,2.6,17.22,17.49,36.76,0.14,15.99,1.5,0.41,5.74,41.27,11.21,8933.05,19.81,8.06,57.12,4.37,8.2,31.84,50.42,2.46,158.24,16.12,0.82,2.6,0.68,5.47,13.8,17.08,2.73,7.79,8.75,3.28,8.2,0.14,0.14,1.23,0.14,9.29
