stage,Endothelial_cell,Epithelial_cell,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.1,0.52,0.31,0,0.21,0.1,0,0,0.1,0,1.04,0.31,1.04,0.1
22Month,0,0,0,0.14,0,0,0,0,0,0,0.55,0,0,0
