stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
21Day,0,0,0,0,0,0,0.37,3.7,0,0.37,0.37,0,0,0
3Month,0.31,0,0.1,0,0.1,0.1,0,0,0,0.1,0,0,0,0
22Month,1.09,0.14,0.14,0.55,0,0,0,0.55,0.14,2.73,0,0.14,0.27,0.14
