stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,45,18,0,94,1,1,0,0,0,0,0,0,23,1,0,1,0,12,23,54,141,0,0,0,0,75,1106,0,0,0,28,0,0,0,0,0,0,3,0,0,0
72hpf,33.82,9.86,0,44.53,14.09,52.99,0,2.25,0,0,1.41,0,0,0.28,0,3.66,0,28.75,92.45,14.66,81.45,0,15.78,3.38,2.82,575.53,265.22,1.69,6.76,0,80.04,6.48,0,0.56,33.82,8.46,5.36,13.53,0,0,0
21Day,41.07,6.29,2.22,115.44,6.29,93.24,0,22.94,0,1.85,2.59,0,0,16.65,0.37,30.71,12.21,10.36,63.64,22.57,100.27,0,0,12.95,0.74,139.49,84.73,5.55,4.81,0,46.99,15.17,0,3.7,18.87,6.29,16.65,5.55,0,0,15.54
3Month,2.08,17.27,6.24,224.05,3.64,0,5.2,3.43,1.04,46.5,32.66,0.73,0,255.36,33.18,7.39,92.78,30.48,106.72,58.98,97.05,16.33,0.21,42.44,16.43,20.7,3.85,23.82,12.9,0,8.74,8.63,0.21,167.88,3.95,0.83,0,2.18,20.08,60.12,47.85
22Month,1.5,19.27,7.93,86.91,1.5,0,5.6,3.28,0.27,22,72.83,43.32,0,625.72,21.86,14.07,87.32,5.6,23.23,87.46,69.83,3.14,17.76,23.78,1.09,12.16,1.64,21.73,13.94,2.32,5.47,2.05,0,34.98,9.7,9.84,0,0.41,2.73,0.41,20.22
