stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0.85,0.28,0,0,0,0,0,0,0,0,0.85,0.56,0,0.28,0,0,19.45,2.54,0,0.85,0.28,0,0,0.28,0.56,0,0,0
21Day,0.37,0,0,2.59,0,0,0,0,0,0.37,0,0,0.74,0,0,1.11,0,0.37,0,4.07,0,0,0.74,0,0,0,0,0,0.37,0,0.37
3Month,0,0.31,0.42,1.98,0,0.1,0.62,0.1,0,1.35,0.1,0.21,5.93,0.21,0.1,2.18,0.1,0.1,0.21,0.1,0,0.1,0.52,0,0.1,0.31,0,0,0,3.02,0
22Month,0,0.27,0.14,0.55,0,0.14,0.27,0.55,1.09,3.55,0,0.14,3.01,0.14,0,1.09,0,0.14,0.14,0.14,0,0,0,0.14,0,0,0,0,0,0,0
