stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0
72hpf,0,0,0,0,0,0,0.85,0,0.56,1.13,0.56,0.28,0,0,0
21Day,0.37,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0.37
3Month,0,0,0,0.21,0.1,0.1,0,0.1,0,0.1,0,0,0.42,3.74,0.1
22Month,0,0,0.14,0.27,0,0,0,0.14,0,0,0,0,0.14,0,0
