stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0.56,0,0,0,0,0
21Day,0.74,0,0,0.37,0.37,0,0,0,0,0.37,0,0.37,0,0,0.37,0,0.37,0,0.74,0,0,0.37,0,0,0,0,0.37,8.14,0,0,0,0,0
3Month,0,0.21,0,3.33,0,0.31,0.42,0.94,0,5.2,1.35,0,1.77,0.31,1.04,0.94,1.04,0.42,0.21,0.31,0.42,0.1,0.31,0.42,0,0,1.25,168.2,0.21,0.1,0.62,25.07,1.25
22Month,0,0.14,0.14,0.55,0,0,0,0.14,0.14,2.46,0,0,0.82,0,0,0.55,0.27,0,0.27,0,0,0,0,0.14,3.55,0,0.14,38.95,0.14,0,0,0,0
