stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hatching_gland,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,5,2,2,2,0,1,2,9,5,810,4,0,0,0,1,0
72hpf,0,0,0,0,0,0,0,0.28,1.13,9.58,0.28,0,0,7.33,0,0
21Day,0,0,0.37,0,0,0,0.37,0,0.37,2.59,0,0.74,0.37,2.59,0,0
3Month,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1
22Month,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0
