stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,T_cell
21Day,0,0,0,0.37,0,0,0,0,0,0
3Month,0.1,0.1,0,2.81,0,0.42,0,0.1,0.1,0.1
22Month,0.14,0.14,0.27,9.16,0.27,0.14,0.14,0,0.96,0.14
