stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,4,6,3,0,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.13,0.28,0.28,0,0,0,0,0,0,0,0,0,0,1.41,1.97,0.28,1.41,0,0,0,0,8.46,2.25,0,0,0,0.56,0,0,1.13,0.28,0,0,0
21Day,0.74,0,0,4.44,0,1.48,0,1.11,0,0,0,0,0.37,0.37,1.11,0.37,0,0.74,0,1.85,0,0,0,0,1.48,1.48,0,0,0,0.74,1.11,0,0.74,0,0,0,0.37
3Month,0.21,0.73,0,7.07,0,0,0.1,0.52,1.35,3.85,0,0,13.42,2.91,0.31,5.82,1.04,3.33,3.54,3.22,0.52,0,1.35,0.42,0.52,0.1,0.31,0.21,0,0.31,1.04,7.07,0.21,0,0.73,4.89,2.5
22Month,0.14,0.55,0.14,1.37,0.14,0,0,0,0.55,3.01,0.55,0,10.66,0.41,0.82,3.42,0.14,0.96,3.69,1.37,0.27,0.41,0.55,0,0.14,0,0.27,0.41,0.14,0.14,0.14,1.09,0.14,0,0.41,0,0.96
