stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,4.23,0,0.85,0.28,0.56,0.28,0,0,0,0,0,0,1.13,0.56,0,0.28,0,0.56,0,0.28,1.13,0,0.28,0,0,0,0,0,0
21Day,1.48,0,5.18,0,0,0,0,0,0,0,0.74,0.37,0,0.37,0,0.37,0,0,0.74,0.37,0.74,0.37,0.37,0.37,0,0.37,0,0,0
3Month,0.42,0.1,0.21,0,0,0,0.1,0,0.42,0.1,0,0,0,0,0.21,0,0,0,0,0,0.1,0,0,0.1,5.2,0,0.1,0.31,0.1
22Month,0.14,0,0.27,0,0,0,0,0.14,0.55,0,0,0.27,0,0,0.14,0,0.14,0,0.27,0,0,0.14,0,0,2.6,0,0,0,0.27
