stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,3,14,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.85,0,0,0,0,0.28,0,0,0.28,0,0,0,0,0,0.28,2.54,0,0.56,0,0,0,0,5.64,3.1,0,0.85,0,0,0.28,0,0,0.28,0,0,0
21Day,1.11,0,0,2.59,0.37,2.96,2.96,0,0.37,0,1.48,0,1.11,0.74,1.11,1.11,0,4.44,0,0.37,0.74,0,9.25,4.07,0,2.22,0.37,0,0.74,1.11,2.22,0.37,0,0,0.74
3Month,0,0.21,0.1,2.18,0,0,0,0.52,0.1,0,5.3,0.1,0.1,2.5,0.1,0.52,0.42,0.31,0.1,0,0.21,0.62,0.1,0.1,0.1,0,0.21,1.04,0,0,0,0,0.52,0.31,0.1
22Month,0,0,0,0.41,0.14,0,0,0.27,0.27,0.14,6.7,0,0,1.23,0,0.27,0.14,0.14,0,0,0.14,0,0.14,0,0,0,0,0.27,0.27,0.27,0,0,0,0,0.27
