stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.07,0.85,0.28,0,0,0,0,0,0,0,0,0,1.13,0.56,1.41,0,0.28,0,14.94,5.36,0.28,0,1.41,0,0,0.28,0.56,1.97,0,0,0
21Day,0.37,0,0,4.07,0.74,0.37,0,0,0,0,0,0.37,0,0,0.74,3.33,0.37,2.22,0,0,0,11.47,5.92,0.74,0,1.11,1.48,0.37,0.74,11.1,30.34,0,0,0.37
3Month,0,0,0,6.76,0.31,0,0.1,0.1,0,0.1,0,2.08,0.52,0.83,0.42,0.42,0.73,0.31,0.1,0.1,0,3.22,0.21,0.1,0,0,0.1,0.83,0,0.31,0,0,0.21,0.21
22Month,0.14,0.68,0.14,11.75,0.68,0,0,0,0.27,1.5,0.41,9.29,0.55,0.96,0,0.27,1.23,1.37,0,0,0.27,4.37,0.14,1.37,0.14,0,0,1.91,0.41,15.99,0,0.55,0,0
