stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,1.41,1.13,0,0,0,0.28,0,0.85,0,0,0,0,0,0
21Day,0,0,0,1.85,0,0,0.74,0,0,0,0,0,0.37,0,0,0.37,0,0.37,0,0,0,1.11,0.37,0,0,0,0,0,3.33,0,0.37,0,0,0,0.37
3Month,0.21,0.42,0.1,7.07,0,0.21,0.52,0.31,1.35,0.1,6.14,1.56,0.1,2.18,1.04,2.6,1.56,1.56,0.1,0.31,0.42,1.04,0.1,0.31,0,0,0.1,1.46,183.49,0.21,0,0.1,1.56,18.83,1.04
22Month,0,0.14,0.14,1.23,0.14,0,0,0.41,0.27,0.27,4.1,0,0,0.41,0.14,0.14,0.55,0.41,0,0,0.14,0.27,0,0.14,0.14,10.66,0,0.14,28.29,0,0.14,0,0,0,0.14
