stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,7,0,1,0,0,0,0,0,0,0,2,1,2,1,0,0,1,14,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0.85,0,0,3.66,4.23,0,0,0.56,0.28,0.56,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0.37,0,0,0,0,0,0,0.37,0.37,0.37,0,0,1.11,0.37,0,0,0,0,0,0.37,0,0,0.37
3Month,0,0.1,1.35,0.1,0,0.21,1.14,0,0.42,0.83,0,0.52,0.21,0.52,0.42,0.21,0.21,0.1,0,0,0.21,0.1,0,8.53,0,0,0.31,4.68,0.42
22Month,0,0.14,0,0,0,0,0.68,0.14,0.68,0.14,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0
