stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,1,27,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.28,0,0,0,0,8.17,5.36,3.95,0,0,0,0.56,0,0.28,0
21Day,0.37,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92,2.59,2.59,0,0.37,0,0.37,0.37,0,0
3Month,0,0.1,0.1,1.14,0,0,0.1,0.1,0,1.77,0.52,0,0.73,0.1,0.31,0.73,0.94,0.1,0,0.31,0.21,4.47,0,4.89,0,0.1,5.1,0,0,0,0.73
22Month,0,0.96,0.55,1.64,0.14,0.14,0.27,0.82,0.27,41.27,0,0.27,0.68,0,0.68,0.55,5.19,0,0.55,0.41,0.27,1.78,0.27,3.83,0.41,0,6.97,0.27,0,0,0.14
