stage,Cardiomyocyte,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,7.33,0.85,0.28,0,0,0.28,0.28
21Day,0.37,0,0,0,0.37,0.37,0,0.37,0.37,0,0.74,0,0,0
3Month,0,0.1,0.1,0.31,0,0.21,0.1,0,0,0,0,0.52,0,0
22Month,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0
