stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,1,11,0,3,0,0,0,9,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0.28,4.79,0,0.56,0,0,2.25,2.25,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0.37,0,0,0,0
3Month,0.1,0.21,0.1,1.35,0,0.1,0.42,1.66,0.62,0.73,0.31,0.62,0.21,0.73,0.1,0.31,0.1,0,0.21,0,0.73,57.94,0.1,0.1,23.72,0.52
22Month,0.14,0,0,0,0,0,0,0.82,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0.27,6.83,0,0,0.14,0.14
