stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,4,0,9,0,0,0,1,0,0,0,0,0,1,8,0,0,0,11,28,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,1.41,0,1.69,0.56,2.54,0,0,0,0,0,1.41,4.51,0.28,16.07,0,0.28,0,146.56,18.04,0,0.28,5.92,0,0.28,2.54,0.28,0,0,0
21Day,0.37,0.37,0,1.11,0.37,0.37,0,0,0,0,0,0,1.11,0,8.88,0,0,0.37,28.86,4.44,0,0,2.22,1.85,2.22,0.74,0,0,0,0
3Month,0,0.1,0.1,4.16,0.1,0,0.1,0,1.87,0.83,0.62,0,11.23,0.31,0.42,0,0.21,0.21,0.31,0.1,0.1,0,0,0.21,13.31,0,0,0.1,2.08,0.21
22Month,0,0,0,0,0.14,0,0,0.14,1.37,0,0.41,0,0.27,0,0,0.14,0,0,0.41,0,0,0,0,0,5.74,0,0,0,0,0
