stage,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Nephron_cell,Primordial_germ_cell,Spermatocyte,T_cell
3Month,0.31,0.31,0,0.1,0.42,0,0.1,0.1,0.1,0.21
22Month,0,0.41,0.14,1.78,0.68,0.14,0,0,0,0
