stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,1,0,0,4,0,0
72hpf,0.28,0,0,0,0,0,0.28,0,0.56,0,1.97,0,0,0
21Day,0,0.37,0.37,0,0,0,0.37,0,1.48,0.37,0.74,0,0,0
3Month,0,0.21,0,0.1,1.14,0.21,0.1,0.1,0.21,0.1,0,0,0.42,0.1
22Month,0,0.14,0,0.14,1.37,0.14,0.14,0,0.14,0,0,0,0,0
