stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0.28,0,0,0,0,0,0,0,0,29.31,0.28,0.28,0.85,0,1.97,0,0,1.97,1.41,0,0,0,0.56,0,0,0,0.28,0
21Day,0.37,0,0,0,0,0,0,0,0,4.81,0,0.37,4.81,0,0.37,0,1.48,0,0.37,0.37,0,0,0,0,0.37,0,0,0.74,0,0,0,0
3Month,0,0.1,0,0.31,0,0,0,0,0,3.43,0,0,10.92,0,0,0,0.1,0.21,0,0,0,0,0,0,0.1,0,0.1,0,0.31,0,0,0.1
22Month,0,0.27,0.55,1.09,0,0.14,1.78,0.55,0.41,122.16,0.14,0.14,88.14,0,0,0.27,1.37,0.14,2.19,0.27,0.14,0.14,0,0.14,0.14,0.41,0,0.41,0.68,0.14,0,0.27
