stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,104,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,8,0,0,0,0,1,21,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,1.41,1.41,0,15.5,2.25,0.28,0,0,0,0,0,0,0,0,0,0,0.28,117.81,0.28,12.12,0,0,0,0.28,23.68,10.43,0,0,27.62,0,0,1.69,0.56,0,0.28,0,0,0
21Day,0.74,0.74,0,15.17,1.11,1.48,0,0,0,0,0,0,0,0,0.37,0.37,0,15.54,0,13.32,0,0,0.74,0,19.98,2.59,0,0.37,9.62,1.11,0,0.74,0.37,4.81,0,0,0,0
3Month,0,5.3,0.1,9.78,0,0,0.21,0.1,0.31,1.04,0,0,4.16,1.56,1.35,1.77,0.52,70.21,0.83,4.78,0.21,0,0.42,0.21,0.42,0.21,0.21,0,0.21,0.94,26.73,0.21,0,0,0,0.42,3.95,0.94
22Month,0,8.2,0.41,1.5,0,0,0.41,0,0.27,0.96,0.41,0,9.16,1.91,4.51,0.68,0,3.83,2.73,3.28,0.14,0.27,0.27,0,0.27,0,0.27,0,0,0.14,3.83,0.82,0.27,0,0,0,0,0.41
