stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Neural_cell,Neurosecretory_cell,Oocyte,Primordial_germ_cell,Spermatocyte
72hpf,0,0.28,0,0,0,0.85,0,0,0,0
21Day,0.37,0,0,0.37,0.37,1.48,0,0,0,0
3Month,0,0.42,0.42,0.1,0.31,0,0.1,0,6.45,1.14
22Month,0,0,0.41,0,0,0.14,0,0.14,1.64,0
