stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,2,0,0,0,0,0,1,0,0,0,0,1,1,16,0,0,1,78,5,0,0,0,0,0,0,0
72hpf,0,0.28,0.56,0,0,0,0,0,0,0,0.28,0,0.28,2.82,0,1.41,0,0,1.69,1.69,1.69,0,0,1.41,0.56,0,0,0
21Day,0,0,1.11,0.37,0,0,0,0.37,0,0,0,0,0,0.74,2.22,2.22,0,0,0,0.37,0.37,0,0.37,0,0,0,0,0
3Month,0.1,0,3.02,0,0.21,0,0.1,2.81,0,0.62,0.21,0.52,0.42,1.14,1.35,0.94,0.1,3.43,0.1,0.1,0,0.21,4.37,0,0,0.31,0.21,0.1
22Month,0,0.14,2.19,0,0,0.14,0,3.55,0,1.09,0.14,0.14,0.27,0,1.5,0.27,0,1.37,0,0,0,0,4.51,0.14,0,0,0,0.14
