stage,Endothelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte
24hpf,0,0,0,0,1,0,0,0,3,0,0
72hpf,0.28,0,0,0,0.28,0.56,0,1.97,0.28,0.85,0
21Day,0,0.37,0.37,0.37,0,0,0.37,1.85,0,0,0
3Month,0.1,0,0,0,0,0.1,0,0.1,0,0,0.62
