stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,2,1,4,0,0,0,0,0,0,0,7,3,8,0,0,0,60,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0.85,0.28,3.1,0,0,0,0,0.56,8.17,0,4.23,0,0,12.68,11.56,0,0.28,3.95,0,0.28,3.1,0,0.28,0,0
21Day,0,0,1.11,0,0,0,0,0,0,0,1.48,0.74,2.96,0,0,2.22,0.74,0,0,0,0,0.37,0.37,0,0,0.37,0
3Month,0,0,0.42,0,0,0.1,0.1,0.31,0.1,0,0,0,0.1,0.21,0.1,0,0,0,0.31,0,0.21,14.04,0,0.1,0,0.1,3.22
22Month,0,0.14,0.27,0,0,0,0,0.14,0,0,0,0,0.14,0,0.14,0,0,0.14,0.27,0,0,0,0,0,0,0,0
