stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,0.85,0,0,0,0,0,0,0,0,0,0,0.56,0,4.23,0,0,1.69,0,10.15,1.97,0.28,0,6.76,8.46,0,0,0,0.28,0,0,0,0
21Day,0.37,1.48,4.07,0.37,0,0,0,0,1.11,0,0.37,0.74,0,0.74,0.37,3.7,0,0,8.51,0,9.62,1.11,0,0,1.11,18.13,0,0,0,0.37,0,0,0,0
3Month,0,8.43,17.79,0,0.31,0.73,1.25,0.1,9.99,0.73,0,1.35,0.83,1.66,0.73,11.23,1.25,0,9.78,0.21,1.35,0,8.84,0,0,13.94,0.1,2.39,0.94,0,0.31,3.85,0.83,0.94
22Month,0,14.62,31.43,0,0.27,0.41,0.96,49.88,15.03,0.82,0.14,1.37,0.68,0.41,1.09,9.16,0.27,0.41,8.75,0,1.37,0.14,3.83,0.27,0,5.47,0,0.82,4.51,0,1.5,1.91,0,0.41
