stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,0.28,0,0,0,0,0.28,0,0.28,0,0,0.28,0.28,5.36,1.69,0,0.28,0,0,0.56,0,0,0
21Day,0.37,0.37,1.85,0.37,0.37,0,0,0.37,0,0,1.11,0.74,0,0,2.22,0,0.37,0,0.74,0,0.37,0,0,0
3Month,0,0.1,0.21,0,0,0,0.31,0,0.21,0,0.1,0,0,0,0.1,0,0,0,0,0.21,0,0.1,0.1,0.1
22Month,0,0,0.14,0,0,0.14,0.27,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0
