stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0.56,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0.37,0,0,0.37,0,0,0,3.33,0,0,0.74,0.74,0,0,0,0.37,0,1.11,0.37,0,1.11,0,0,0,0,6.66
3Month,0.1,0.31,0,1.66,0,0,0.1,0.31,4.06,0,25.69,4.99,0.83,1.04,0.1,0.52,2.5,1.04,0.52,0.31,0.31,0.31,0.31,0,0.21,0,0.62,1.04,0.1,0.52,6.03
22Month,0,0.27,0.27,1.78,0,0,0.96,0.14,4.37,0.27,44.96,4.78,0.96,0.27,0,0.14,1.23,2.19,0.14,2.87,0.27,0.14,0,0,0.41,0.14,0.41,0.14,0,0,2.32
