stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0.28,0.28,0,0,0,0,0,0.56,0,0,0,0
21Day,0.37,0,0,1.11,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0,0,0,0.37,0,0,0.37,0,0,0.37,0,0,0,1.11,0.74,0,0,0.37
3Month,0.1,1.46,0.1,7.07,0.21,0.1,1.66,0.31,0.1,12.07,0.62,0.83,7.18,0.83,2.08,1.04,0.94,0.62,0,0.52,1.35,0.31,0,1.66,0.1,0.62,0.31,0.52,0,0,0,0.21,0.31,2.81
22Month,0.14,0.82,0,1.78,0.14,0.27,0.82,0.55,0.82,18.72,0.14,1.37,4.92,0.41,0.27,1.78,0.27,0,0.41,0.41,0,0.27,0,0.41,0.14,0.14,0.41,2.32,0.41,0,0,0.14,0,1.09
