stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,1,0,1
72hpf,0,0,0,0,0,0,0.85,0,0,0
21Day,0.37,0,0,0,0,0,3.7,0,0,0
3Month,0,0.1,0,0,0.1,0,0,0,0,0
22Month,0,0,0.14,1.5,0.14,0.14,0,0,0.14,0
