stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,2,0,0,0,0,0,0,0,0,32,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.56,0,0.85,14.09,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0.74,0,0.37,9.99,0.37,0.37,0.74,0
3Month,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0,0,0,0.1
22Month,0,0,0,0.41,0.14,0,0.14,0.14,0,0,0,0.14,0,0,0
