stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,5.92,0,0,0,0,0,0,0,0,0,0,0,0.56,2.25,0,0.85,0,0,0,0.56,1.69,2.82,0,0.28,0,0,0.28,0.28,0,0.56,0,0,0
21Day,0.37,0,0,23.68,0,1.11,0,0.37,5.55,0.37,0,1.48,0,1.11,3.7,0,2.59,0,2.22,0,0.74,0,0,1.48,0,0.74,0,0.74,0.74,0.37,0,0.37,0,0,0,0.37
3Month,0.1,0.62,2.29,68.13,0.1,0,0.62,0,159.15,2.39,0,9.15,1.66,0.31,23.4,1.14,2.08,1.35,1.87,0.1,0.1,4.89,1.56,0.42,0,1.98,0.21,0.62,4.16,0.1,0.1,0,0,0.73,3.12,0.94
22Month,0,0.41,2.87,10.66,0,0,0.27,0,41.27,0.68,0.41,6.15,0,0.27,31.02,0.27,0.27,0.55,1.5,0,0.27,2.05,0,0,0,1.23,0,0.14,0.96,0.14,0.41,0,0,0,0,0.27
