stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.56,0.28,0,0,0,0,0,0,1.69,0.85,0,0,0,0,0,0,13.53,1.69,0,0,0.85,0,0,0.56,0,0,0,0,0
21Day,0,0,1.11,0.37,0,0,0,0,0,0,0.37,2.22,0.74,0.74,0,1.48,0,0,1.11,0,3.33,0,0,0,0,0.37,0,0.37,0.37,0,0,0,0
3Month,0,0.21,1.14,1.87,0,0,0.31,0.42,1.56,1.14,0,14.98,1.04,0.62,0.42,7.39,1.25,0,0.21,5.93,0.1,0,0.1,0,0,0.31,0.1,15.91,0,0.1,0.1,6.35,0.52
22Month,0,0.14,0.96,0.82,0,0,0.41,0.68,2.19,0.27,0.14,27.88,0.27,0,0.14,3.96,0.27,0.14,0.14,0.14,0.14,0,0,0.14,0,0.14,0,10.39,0,0,0,0,0
