stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0.28,0,0,0,0,0,0.28,0.56,0,0.28,0,0,6.2,0.28,0,0.28,0.56,0,0,0,0.28,0,0
21Day,0,0,1.48,0.37,0,0,0,0.37,0,0,0,0,2.59,0.37,0,12.58,0,0,0,1.11,0.37,0,0,0.37,0,0
3Month,0,0.1,1.04,0,0.1,0,0,13.52,0.21,0.1,0.21,0.21,0.31,0,0.1,0.1,0,0.52,0,0.1,0.1,0.1,0.1,0,0.83,0.1
22Month,0,0,0.27,0,0,0.14,0.41,0.41,0,0,0,0.27,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0
