stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.28,0.85,0,0,0,0,0,0.56,0,4.23,0,0,1.41,0.56,0.28,1.69,0,0.28,0.85,0,0,0
21Day,1.11,0,0,0.37,1.11,0.37,0,0,0.37,0,0.74,0,12.58,2.22,0,3.33,0.37,0,9.62,0.74,0.37,2.59,0.37,0.37,0
3Month,0,0,0.1,0.31,0,0,0,0.31,0,0.52,0.21,0.1,0.1,0.1,0.1,0,0,0,0,0.21,12.69,0,0.52,8.43,0
22Month,0,0,0.14,0,0,0,0.41,5.74,0,0.41,0,0.14,1.64,0.14,0,0,0,0,0,0,0.14,0,0,0,0.14
