stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,8.74,0.28,0,0,0,0,0,1.41,0.56,0,0.28,0,0,0,0,0.56,0,0,0
21Day,0,0,0,5.55,0,0,0,0,0.37,0,0,27.75,0,0.74,0,0,0,0,0.74,0,0,0.74,0,0,0,0.37,0.37,0,0,0.74
3Month,0.1,0.1,0.1,3.85,0.42,0.52,2.39,0.42,0,0.94,0.1,0.83,0.42,0.21,0.1,0,0,0.21,0,0.1,0,0,0.21,0.83,0.21,0,0,0.1,0.21,0.94
22Month,0,0.14,0,0.82,0.14,2.05,7.52,0.68,0.14,1.64,0.14,0.14,1.91,0.82,0,0.27,0.27,0,0,0,0.14,0,0,0.14,0.14,0,0,0,0,0.27
